item,even_odd,mean_score
circecon_local,Even,4.5
circecon_local,Odd,4.642857142857143
co2_mining,Even,4.666666666666667
co2_mining,Odd,4.214285714285714
crm_recovery,Even,4.5
crm_recovery,Odd,4.5
crm_scarcity,Even,4.166666666666667
crm_scarcity,Odd,4.214285714285714
electronic_waste,Even,5
electronic_waste,Odd,4.785714285714286
glass,Even,4.333333333333333
glass,Odd,4.357142857142857
likeliness_nextitem,Even,4.666666666666667
likeliness_nextitem,Odd,4.571428571428571
metal,Even,4.833333333333333
metal,Odd,4.5
organic_waste,Even,4
organic_waste,Odd,3.4285714285714284
paper_cardboard,Even,4
paper_cardboard,Odd,3.7142857142857144
personal_importance,Even,4.666666666666667
personal_importance,Odd,4.428571428571429
pet,Even,4.833333333333333
pet,Odd,4.5
pollution,Even,4.5
pollution,Odd,4.214285714285714
systemic_importance,Even,4
systemic_importance,Odd,4.285714285714286
unethical_mining,Even,4.833333333333333
unethical_mining,Odd,4.642857142857143
